Year,Tm,Wins
2017,ATL,43
2017,BOS,53
2017,BRK,20
2017,CHA,36
2017,CHI,41
2017,CLE,51
2017,DAL,33
2017,DEN,40
2017,DET,37
2017,GSW,67
2017,HOU,55
2017,IND,42
2017,LAC,51
2017,LAL,26
2017,MEM,43
2017,MIA,41
2017,MIL,42
2017,MIN,31
2017,NOP,34
2017,NYK,31
2017,OKC,47
2017,ORL,29
2017,PHI,28
2017,PHO,24
2017,POR,41
2017,SAC,32
2017,SAS,61
2017,TOR,51
2017,UTA,51
2017,WAS,49
2016,ATL,48
2016,BOS,48
2016,BRK,21
2016,CHA,48
2016,CHI,42
2016,CLE,57
2016,DAL,42
2016,DEN,33
2016,DET,44
2016,GSW,73
2016,HOU,41
2016,IND,45
2016,LAC,53
2016,LAL,17
2016,MEM,42
2016,MIA,48
2016,MIL,33
2016,MIN,29
2016,NOP,30
2016,NYK,32
2016,OKC,55
2016,ORL,35
2016,PHI,10
2016,PHO,23
2016,POR,44
2016,SAC,33
2016,SAS,67
2016,TOR,56
2016,UTA,40
2016,WAS,41
2015,ATL,60
2015,BOS,40
2015,BRK,38
2015,CHA,33
2015,CHI,50
2015,CLE,53
2015,DAL,50
2015,DEN,30
2015,DET,32
2015,GSW,67
2015,HOU,56
2015,IND,38
2015,LAC,56
2015,LAL,21
2015,MEM,55
2015,MIA,37
2015,MIL,41
2015,MIN,16
2015,NOP,45
2015,NYK,17
2015,OKC,45
2015,ORL,25
2015,PHI,18
2015,PHO,39
2015,POR,51
2015,SAC,29
2015,SAS,55
2015,TOR,49
2015,UTA,38
2015,WAS,46
2014,ATL,38
2014,BOS,25
2014,BRK,44
2014,CHA,43
2014,CHI,48
2014,CLE,33
2014,DAL,49
2014,DEN,36
2014,DET,29
2014,GSW,51
2014,HOU,54
2014,IND,56
2014,LAC,57
2014,LAL,27
2014,MEM,50
2014,MIA,54
2014,MIL,15
2014,MIN,40
2014,NOP,34
2014,NYK,37
2014,OKC,59
2014,ORL,23
2014,PHI,19
2014,PHO,48
2014,POR,54
2014,SAC,28
2014,SAS,62
2014,TOR,48
2014,UTA,25
2014,WAS,44
2013,ATL,44
2013,BOS,41
2013,BRK,49
2013,CHA,21
2013,CHI,45
2013,CLE,24
2013,DAL,41
2013,DEN,57
2013,DET,29
2013,GSW,47
2013,HOU,45
2013,IND,49
2013,LAC,56
2013,LAL,45
2013,MEM,56
2013,MIA,66
2013,MIL,38
2013,MIN,31
2013,NOH,27
2013,NYK,54
2013,OKC,60
2013,ORL,20
2013,PHI,34
2013,PHO,25
2013,POR,33
2013,SAC,28
2013,SAS,58
2013,TOR,34
2013,UTA,43
2013,WAS,29
